name,author,press,year,price,score,num,quote
红楼梦,[清] 曹雪芹 著, 人民文学出版社 ,1996,59.7,9.6,269194,都云作者痴，谁解其中味？
活着,余华, 作家出版社 ,2012,20,9.4,443391,生的苦难与伟大
百年孤独,[哥伦比亚] 加西亚·马尔克斯, 南海出版公司 ,2011,39.5,9.2,273478,魔幻现实主义文学代表作
1984,[英] 乔治·奥威尔, 北京十月文艺出版社 ,2010,28,9.3,133129,栗树荫下，我出卖你，你出卖我
飘,[美国] 玛格丽特·米切尔, 译林出版社 ,2000,40,9.3,147682,革命时期的爱情，随风而逝
"三体全集

                
                   : 地球往事三部曲",刘慈欣, 重庆出版社 ,2012,168,9.4,32158,地球往事三部曲
三国演义（全二册）,[明] 罗贯中, 人民文学出版社 ,1998,39.5,9.2,113237,是非成败转头空
白夜行,[日] 东野圭吾, 南海出版公司 ,2013,39.5,9.2,231102,一宗离奇命案牵出跨度近20年步步惊心的故事
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔, 群众出版社 ,1981,53,9.2,85859,名侦探的代名词
动物农场,[英] 乔治·奥威尔, 上海译文出版社 ,2007,10,9.2,81263,太阳底下并无新事
小王子,[法] 圣埃克苏佩里, 人民文学出版社 ,2003,22,9,542419,献给长成了大人的孩子们
房思琪的初恋乐园,林奕含, 北京联合出版公司 ,2018,45,9.2,151796,向死而生的文学绝唱
天龙八部,金庸, 生活.读书.新知三联书店 ,1994,96,9.1,96881,有情皆孽，无人不冤
撒哈拉的故事,三毛, 哈尔滨出版社 ,2003,15.8,9.2,60552,游荡的自由灵魂
安徒生童话故事集,（丹麦）安徒生, 人民文学出版社 ,1997,25,9.2,80716,为了争取未来的一代
哈利?波特,J.K.罗琳 (J.K.Rowling), 人民文学出版社 ,2008,498,9.7,9978,从9?站台开始的旅程
"人类简史

                
                   : 从动物到上帝",[以色列] 尤瓦尔·赫拉利, 中信出版社 ,2014,68,9.1,120766,跟着人类一同走过十万年
围城,钱锺书, 人民文学出版社 ,1991,19,8.9,355521,幽默的语言和对生活深刻的观察
"沉默的大多数

                
                   : 王小波杂文随笔全编",王小波, 中国青年出版社 ,1997,27,9.1,92736,沉默是沉默者的通行证
平凡的世界（全三部）,路遥, 人民文学出版社 ,2005,64,9,236541,中国当代城乡生活全景
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯, 南海出版公司 ,2012,39.5,9,169507,义无反顾地直达爱情的核心
"明朝那些事儿（1-9）

                
                   : 限量版",当年明月, 中国海关出版社 ,2009,358.2,9.1,73434,不拘一格的历史书写
局外人,[法] 阿尔贝·加缪, 上海译文出版社 ,2010,22,9,115170,人生在世，永远也不该演戏作假
