name,author,press,year,price,score,num,quote
"庄子

                
                   : 中华经典藏书",孙通海 译注, 中华书局 , 2007, 20.00,9.4,6938,野马也，尘埃也，生物之以息相吹也
稻草人手记,三毛, 北京十月文艺出版社 , 2009, 18.00,8.9,13517,三毛在加纳利群岛上的生活
夏洛的网,[美] E.B.怀特, 上海译文出版社 , 2004, 17.00,8.6,49193,一个蜘蛛和小猪的故事，写给孩子，也写给大人
挪威的森林,[日] 村上春树, 上海译文出版社 , 2007, 23.00,8.5,92272,像喜欢春天的熊一样
佐贺的超级阿嬷,[日] 岛田洋七, 南海出版公司 , 2007, 20.00,8.7,17421,乐观的外婆却总有神奇的办法
步履不停,[日] 是枝裕和, 北京联合出版公司 , 2017, 36.80,8.7,23589,人生路上，步履不停，总有那么一点来不及
论语,无,中华书局,2006,9.8元,9.0,11351,仁远乎哉？我欲仁，斯仁至矣
牡丹亭,汤显祖, 人民文学出版社 , 1963, 14.50,9.0,8707,不到园林，怎知春色如许
社会契约论,卢梭, 商务印书馆 , 2003, 18.00,8.8,12745,一个国家只能有一个契约
告白,[日]凑佳苗, 哈尔滨出版社 , 2010年6月 , 26.00,8.5,9755,无
通往奴役之路,(英)弗里德利希·奥古斯特·哈耶克, 中国社会科学出版社 , 1997, 16.00,8.8,12099,古典自由主义杰作
欢乐英雄,古龙, 珠海出版社 , 2005, 28.00,8.8,12377,坚持自己的信念，在贫穷中获得欢乐与友谊
人类的群星闪耀时,[奥] 斯蒂芬·茨威格, 广西师范大学出版社 , 2004, 18.00,8.7,18719,十四个影响人类文明的瞬间
二手时间,[白俄] S. A. 阿列克谢耶维奇, 中信出版集团 , 2016, 55.00,8.8,12976,用最为细小的马赛克拼出了一幅完整的后苏联时代图景
多情剑客无情剑(上、中、下),古龙, 海天出版社 , 1991, 49.8,8.7,15920,流水滔滔斩不断，情丝百结冲不破
